model_id,family,parameters,size_category,status,mqs_score,grade,certified_tier,last_certified,g1,g2,g3,g4,tps_gguf_cpu,tps_gguf_gpu,tps_apr_cpu,tps_apr_gpu,tps_st_cpu,tps_st_gpu,provenance_verified,kernel_proof_ref
Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen-coder,0.5B,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-15T10:40:56.594450503+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-Coder-1.5B-Instruct,qwen-coder,1.5B,small,CERTIFIED,1000,A+,dim-smoke,2026-02-15T10:37:37.117977131+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-Coder-3B-Instruct,qwen-coder,3B,small,CERTIFIED,1000,A+,dim-smoke,2026-02-15T10:40:56.701542403+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-Coder-7B-Instruct,qwen-coder,7B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-15T10:40:56.808011619+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-Coder-14B-Instruct,qwen-coder,14B,large,CERTIFIED,1000,A+,dim-smoke,2026-02-15T10:40:56.914092337+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-Coder-32B-Instruct,qwen-coder,32B,xlarge,BLOCKED,0,F,mvp,2026-02-03T16:49:20.682972770+00:00,true,true,false,true,,,,,,,false,
Qwen/Qwen2.5-0.5B-Instruct,qwen,0.5B,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-15T23:00:47.900198191+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-1.5B-Instruct,qwen,1.5B,small,CERTIFIED,1000,A,mvp,2026-02-13T00:45:20.430428576+00:00,false,false,false,false,,,,,,,false,
Qwen/Qwen2.5-3B-Instruct,qwen,3B,medium,CERTIFIED,964,A,mvp,2026-02-13T03:30:26.379964308+00:00,false,false,false,false,,,,,,,false,
Qwen/Qwen2.5-7B-Instruct,qwen,7B,large,CERTIFIED,900,B,mvp,2026-02-13T07:43:15.439284318+00:00,false,false,false,false,,,,,,,false,
Qwen/Qwen2.5-14B-Instruct,qwen,14B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-32B-Instruct,qwen,32B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen2.5-72B-Instruct,qwen,72B,small,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
